Group,Season,Event,Morlab,Carbonaceous,Mineral,Fe-rich,N-rich,Transition metal,B-rich,Barite,Ca-rich,Calcium Sulfate,Cl-rich,Flourine compound,Fly ash,Quartz,Rare earth metal,S-rich,sulfate,NA
SE,Winter,Event,Cluster,5.2,0.4,2,6,0.4,-,-,-,-,-,0.4,0.4,-,-,-,-,-
SE,Winter,Event,Chainlike,0.8,0.8,-,0.4,-,-,-,-,-,-,-,-,-,-,0.4,-,-
SE,Winter,Event,Irregular,10,6.4,10.4,21.2,13.6,-,-,0.4,0.8,-,-,0.4,-,0.4,0.4,-,-
SE,Winter,Non-event,Spherical,12,16,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-
SE,Winter,Non-event,Cluster,28,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
SE,Winter,Non-event,Chainlike,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SE,Winter,Non-event,Irregular,20,8,-,-,2,-,-,-,-,-,-,-,4,-,-,-,-
NT,Summer,Event,Spherical,-,1.33,5.33,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-
NT,Summer,Event,Cluster,9.33,2,1.33,12.67,0.67,-,-,-,-,-,-,-,-,-,-,-,-
NT,Summer,Event,Chainlike,1.33,-,-,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-
NT,Summer,Event,Irregular,0.67,18,7.33,18,15.33,-,-,0.67,1.33,0.67,-,2,-,-,0.67,-,-
NT,Summer,Non-event,Spherical,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
NT,Summer,Non-event,Cluster,4,3,-,13,1,-,-,-,1,-,-,-,-,-,-,-,-
NT,Summer,Non-event,Chainlike,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
NT,Summer,Non-event,Irregular,4,34,3,18,8,-,-,6,1,-,-,-,-,-,-,-,-
NT,Winter,Event,Spherical,0.4,4.8,4,0.8,0.8,-,-,-,-,-,-,1.2,-,-,-,-,-
NT,Winter,Event,Cluster,1.6,8.8,3.2,8.4,2.8,-,-,-,4.4,-,-,-,-,-,0.4,-,-
NT,Winter,Event,Chainlike,0.4,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-
NT,Winter,Event,Irregular,1.6,27.6,3.6,6.8,13.6,-,-,0.8,2.4,-,-,0.4,-,-,0.4,-,-
NT,Winter,Non-event,Spherical,-,10,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
NT,Winter,Non-event,Cluster,4,6,-,10,-,-,-,4,-,-,-,-,-,-,-,-,-
NT,Winter,Non-event,Irregular,6,26,2,14,8,-,-,2,2,-,-,-,-,-,-,2,-
