Sample,Group,Date,Event,No,PM2.5,NO2,NO,NOx,SO2,CO,WD,WS,Temp,RH,Pressure,OC,EC,WSOC,HULIS-C,NO3-,SO42-,Na+,NH4+,K+,Ca2+,Mg2+,O3,Chl,Org,NOy,HONO_ppb,HNO3_ppb,levo
FRIEND_2nd_Seoul-30,Seoul,2021-06-30,,30,29.4,,1.447997595,,0.72375403,296.6658422,,,,,,,,,,4.83339375,6.5089375,0.019859583,3.917142917,0.021549167,0.017982917,0.0041525,37.37700898,,,18.85732458,1.053066918,2.559900174,
FRIEND_2nd_Ulan-1,Ulaanbaatar,2021-06-01,,1,,31.5,18.58333333,59.60869565,4.291666667,0.36775,197.3333333,0.875,6.283333333,46.41666667,864.8333333,9.953,1.954,2.93,0.77,0.61,2.445,0.304,0.567,0.084,1.962,0.104,,,,,,,
FRIEND_2nd_Ulan-2,Ulaanbaatar,2021-06-02,,2,15.54545455,35.54545455,23.5,71.04545455,5.681818182,0.847727273,123.9090909,0.863636364,9.340909091,62.18181818,869.1818182,7.622,1.356,3.97,3.81,0.763,1.405,0.155,0.581,0.076,1.249,0.063,,,,,,,64.16
FRIEND_2nd_Ulan-3,Ulaanbaatar,2021-06-03,,3,12.91666667,45.875,26.79166667,86.41666667,8.416666667,0.109083333,199.4583333,0.791666667,14.68333333,42.54166667,865.5416667,10.37,1.627,5.06,2.6,0.696,1.37,0.231,0.49,0.098,2.48,0.088,,,,,,,124.71
FRIEND_2nd_Ulan-4,Ulaanbaatar,2021-06-04,,4,,48.73913043,23.82608696,85.04347826,11.52173913,0.422956522,154.75,1.083333333,16.74166667,34.75,861.6666667,24.423,6.694,7.62,4.02,1.798,4.608,1.142,0.512,0.263,7.685,0.304,,,,,,,135.24
FRIEND_2nd_Ulan-5,Ulaanbaatar,2021-06-05,,5,,47.95833333,17.70833333,74.5,15.75,0.266291667,165.9583333,1.375,22.92083333,22.91666667,855.4583333,14.909,3.295,5.32,3.02,1.236,3.813,0.826,0.386,0.171,6.36,0.221,,,,,,,2.03
FRIEND_2nd_Ulan-6,Ulaanbaatar,2021-06-06,,6,15.91666667,38.75,25.29166667,76.91666667,14.45833333,0.681416667,124.75,0.916666667,15.45833333,53.70833333,856.9166667,,,,,,,,,,,,,,,,,,55.58
FRIEND_2nd_Ulan-7,Ulaanbaatar,2021-06-07,Non-event,7,9.166666667,32,28.83333333,75.58333333,4.333333333,0.297458333,170.5416667,1.25,5.6625,74.20833333,862.5833333,4.483,0.924,0.87,0.53,0.229,0.713,0.113,0.147,0.052,1.924,0.058,,,,,,,39.62
FRIEND_2nd_Ulan-8,Ulaanbaatar,2021-06-08,,8,10.875,49.91666667,51.91666667,128.9583333,5.875,1.131541667,263.9166667,0.708333333,8.416666667,76.25,866.25,6.978,1.159,3.64,2.37,0.476,1.653,0.065,0.65,0.068,1.112,0.049,,,,,,,83.3
FRIEND_2nd_Ulan-9,Ulaanbaatar,2021-06-09,,9,15.20833333,42.58333333,25.25,80.79166667,11.625,0.4245,142.3333333,1.125,14.5375,48.20833333,865.125,13.651,2.176,4.9,3.96,0.773,2.245,0.435,0.347,0.144,3.83,0.151,,,,,,,86.67
FRIEND_2nd_Ulan-10,Ulaanbaatar,2021-06-10,,10,10.08333333,56.95833333,27.875,99.58333333,10.33333333,0.745458333,118.9166667,0.833333333,18.82916667,41.58333333,861.2083333,9.491,1.644,3.17,1.63,1.041,2.609,0.477,0.436,0.144,4.196,0.155,,,,,,,35.83
FRIEND_2nd_Ulan-11,Ulaanbaatar,2021-06-11,,11,16.91666667,44.91666667,26.54166667,85.29166667,10,0.620875,98,0.75,15.74166667,59.70833333,863.9583333,10.684,1.293,4.43,2.97,0.899,2.453,0.251,0.462,0.112,2.682,0.122,,,,,,,40.46
FRIEND_2nd_Ulan-12,Ulaanbaatar,2021-06-12,,12,12.5,48.125,16.66666667,73.375,13.375,0.279166667,130.1666667,0.916666667,20.22916667,41,863.4166667,12.421,2.035,4.19,2.25,1.491,3.199,0.584,0.408,0.166,5.39,0.188,,,,,,,27.47
FRIEND_2nd_Ulan-13,Ulaanbaatar,2021-06-13,,13,10.41666667,51.79166667,27.79166667,93.75,6.833333333,0.662375,100.7916667,0.541666667,16.09166667,62.83333333,862.3333333,6.753,0.909,2.39,1.57,0.835,2.077,0.186,0.546,0.092,2.306,0.099,,,,,,,40.9
FRIEND_2nd_Ulan-14,Ulaanbaatar,2021-06-14,,14,10.375,51.375,25.79166667,90.33333333,3.75,0.452166667,138.7916667,0.75,14.78333333,66.66666667,863.0833333,6.988,1.322,3.73,1.86,0.931,1.393,0.205,0.258,0.092,1.904,0.091,,,,,,,46.4
FRIEND_2nd_Ulan-15,Ulaanbaatar,2021-06-15,,15,11.45833333,49.83333333,36.95833333,106.1666667,1.75,0.408666667,158.6666667,0.5,9.9375,70.79166667,863.9583333,4.673,1.153,2.48,0.73,0.691,1.137,0.066,0.428,0.064,0.774,0.047,,,,,,,41.83
FRIEND_2nd_Ulan-16,Ulaanbaatar,2021-06-16,,16,10.29166667,35.75,35.70833333,90,1.041666667,0.271083333,287.25,0.958333333,10.41666667,53.75,865.1666667,8.546,1.756,2.86,1.71,0.463,2.015,0.377,0.222,0.121,3.71,0.121,,,,,,,29.71
FRIEND_2nd_Ulan-17,Ulaanbaatar,2021-06-17,,17,11.29166667,39.375,38.375,98,2.875,0.954208333,288.9166667,0.916666667,11.29583333,61.41666667,866.875,9.521,1.534,5.17,2.96,0.483,1.346,0.236,0.24,0.1,2.85,0.093,,,,,,,86.32
FRIEND_2nd_Ulan-18,Ulaanbaatar,2021-06-18,,18,,39.45833333,32.83333333,89.58333333,4.375,0.486416667,205.0416667,0.666666667,14.59583333,41.70833333,864.0833333,16.357,2.839,6.37,4.13,0.878,2.632,0.583,0.258,0.192,6.064,0.182,,,,,,,73.59
FRIEND_2nd_Ulan-19,Ulaanbaatar,2021-06-19,,19,17.875,38.58333333,21.625,71.125,6.083333333,0.57225,118.3333333,0.708333333,17.02916667,41.20833333,863.2083333,13.445,1.67,5.75,4.66,0.803,1.912,0.376,0.241,0.064,4,0.153,,,,,,,90.42
FRIEND_2nd_Ulan-20,Ulaanbaatar,2021-06-20,,20,,40.58333333,17.41666667,67.16666667,7.75,0.626958333,115.1666667,0.833333333,20.15416667,37.79166667,863.5,13.686,2.014,5.69,2.93,0.804,1.898,0.363,0.338,0.164,4.251,0.159,,,,,,,50.56
FRIEND_2nd_Ulan-21,Ulaanbaatar,2021-06-21,,21,,42.33333333,19.5,71.75,5.458333333,0.546583333,118.75,1.375,20.97916667,39.04166667,864.3333333,10.385,1.229,2.92,2.53,0.561,1.29,0.23,0.226,0.106,2.816,0.109,,,,,,,9.57
FRIEND_2nd_Ulan-22,Ulaanbaatar,2021-06-22,Event,22,16.25,48.08333333,27,89.08333333,1.333333333,0.539583333,70.41666667,0.916666667,16.4625,64.66666667,864.625,7.081,1.384,3.84,2.75,0.646,1.286,0.137,0.369,0.088,1.795,0.073,,,,,,,65.03
FRIEND_2nd_Ulan-23,Ulaanbaatar,2021-06-23,Event,23,17.75,56,21.95833333,89.20833333,12.75,0.296583333,158.8333333,0.916666667,20.00833333,45.75,863.5,13.41,1.709,4.91,3.5,1.275,2.293,0.41,0.37,0.147,4.123,0.175,,,,,,,39.19
FRIEND_2nd_Ulan-24,Ulaanbaatar,2021-06-24,,24,15.5,50.875,24.45833333,88.125,4.75,0.477583333,159.2916667,0.833333333,19.65416667,51.41666667,860.5833333,12.125,1.729,3.66,2.98,0.999,2.03,0.381,0.183,0.133,4.023,0.156,,,,,,,14.87
FRIEND_2nd_Ulan-25,Ulaanbaatar,2021-06-25,,25,17.16666667,42.29166667,31.16666667,89.29166667,5.708333333,0.694458333,84.08333333,0.625,17.05833333,63.04166667,863.125,10.566,1.299,4.53,2.61,0.796,1.91,0.288,0.277,0.14,2.805,0.137,,,,,,,51.4
FRIEND_2nd_Ulan-26,Ulaanbaatar,2021-06-26,Event,26,22.375,49.75,26.54166667,89.91666667,11.45833333,0.332375,125.875,0.875,21.82916667,42.5,864.4166667,16.648,2.532,6.42,2.82,1.807,3.863,0.728,0.491,0.228,5.886,0.265,,,,,,,52.9
FRIEND_2nd_Ulan-27,Ulaanbaatar,2021-06-27,Event,27,23.66666667,48.91666667,17.33333333,75.04166667,5.5,0.454458333,106,0.958333333,24.37083333,38.04166667,862.4583333,16.338,1.731,5.61,2.66,1.392,3.847,0.706,0.306,0.228,7.787,0.27,,,,,,,20.62
FRIEND_2nd_Ulan-28,Ulaanbaatar,2021-06-28,,28,13.95833333,43.29166667,33.70833333,94.625,3.708333333,0.697208333,169.875,0.708333333,19.01666667,62.33333333,858.125,10.807,1.301,3.09,2.01,0.674,1.907,0.249,0.135,0.101,2.682,0.124,,,,,,,19.31
FRIEND_2nd_Ulan-29,Ulaanbaatar,2021-06-29,Non-event,29,9.652173913,31.08695652,33.7826087,82.39130435,1.571428571,0.113045455,206.2608696,0.956521739,11.30434783,77.43478261,860.173913,2.825,0.598,1.1,0.27,0.062,0.267,0.035,0.015,,0.42,0.019,,,,,,,25.43
FRIEND_2nd_Ulan-30,Ulaanbaatar,2021-06-30,Non-event,30,8.785714286,38.85714286,44.21428571,106.0714286,0.428571429,0.643285714,266.5,0.928571429,11.67142857,73.28571429,862,3.734,0.716,2.12,1.4,0.145,0.404,0.074,0.053,0.047,1.059,0.05,,,,,,,26.92
