point_id,Morphology,Size,Class2,Type,Detail,Type2,Sample,No,Group,Year,Month,Day,Event
16,spherical,0.215,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
17,cluster,0.049,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
18,irregular,0.384,1,Carbonaceous,calcium sulfate,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
19,spherical,0.251,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
20,irregular,0.331,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
21,cluster,0.76,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
22,cluster,0.171,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
23,irregular,0.52,1,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
24,irregular,0.967,1,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
25,spherical,0.891,1,Carbonaceous,S-rich,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
26,cluster,0.65,1,Carbonaceous,S-rich,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
27,irregular,0.565,1,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
28,cluster,0.918,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
29,spherical,1.49,2.5,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
30,irregular,0.602,1,Quartz,,Others,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
31,spherical,0.389,1,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
32,irregular,0.878,1,Carbonaceous,S-rich,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
33,cluster,0.999,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
34,irregular,1.93,2.5,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
35,cluster,0.892,1,Carbonaceous,mineral,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
36,irregular,1.22,2.5,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
37,spherical,1.19,2.5,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
38,spherical,0.737,1,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
39,irregular,1.05,2.5,Carbonaceous,calcium sulfate,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
40,irregular,0.524,1,Carbonaceous,S-rich,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
41,cluster,0.768,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
42,irregular,0.907,1,Transition metal,,Transition metal,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
43,spherical,1.2,2.5,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
44,spherical,0.959,1,Mineral,,Mineral,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
45,cluster,0.075,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
46,cluster,2.17,2.5,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
47,irregular,2.37,2.5,Quartz,,Others,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
48,irregular,2.27,2.5,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
49,spherical,0.471,1,Carbonaceous,Carbonaceous,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
50,chainlike,0.569,1,Carbonaceous,S-rich,Carbonaceous,"1. Seoul (12.15, non-event)",1,Seoul,2020,12,15,Non-event
1,irregular,0.929,1,Carbonaceous,Mineral,Carbonaceous,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
2,irregular,0.751,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
3,irregular,0.345,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
4,irregular,1.11,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
5,irregular,1.4,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
6,irregular,0.69,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
7,irregular,2.21,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
8,irregular,2.89,4,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
9,irregular,0.873,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
10,irregular,0.876,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
11,cluster,2.51,4,Carbonaceous,Mineral,Carbonaceous,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
12,irregular,1.37,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
13,irregular,2.67,4,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
14,irregular,1.28,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
15,irregular,1.07,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
16,irregular,0.983,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
17,irregular,3.17,4,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
18,irregular,0.801,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
19,irregular,1.79,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
20,irregular,0.774,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
21,irregular,0.937,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
22,irregular,0.624,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
23,spherical,0.888,1,Carbonaceous,Mineral,Carbonaceous,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
24,irregular,0.901,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
25,irregular,0.575,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
26,irregular,1.65,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
27,irregular,1.27,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
28,irregular,2.62,4,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
29,irregular,1.49,2.5,Carbonaceous,Mineral,Carbonaceous,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
30,irregular,1,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
31,irregular,1.06,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
32,irregular,1.35,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
33,irregular,1.36,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
34,irregular,1.09,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
35,irregular,1.13,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
36,irregular,0.74,1,Transition metal,,Transition metal,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
37,irregular,1.9,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
38,irregular,0.831,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
39,irregular,1.29,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
40,irregular,0.599,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
41,cluster,1.71,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
42,irregular,1.08,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
43,irregular,0.83,1,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
44,irregular,2.47,2.5,Ca-rich,,Others,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
45,irregular,1.8,2.5,Carbonaceous,Mineral,Carbonaceous,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
46,irregular,1.41,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
47,irregular,1.13,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
48,irregular,2.71,4,Flourine compound,,Others,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
49,irregular,1.69,2.5,Mineral,,Mineral,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
50,irregular,1.28,2.5,Calcium Sulfate,,Others,"10. Beijing (12.23, event)",10,Beijing,2020,12,23,Event
1,irregular,0.562,1,Mineral,,Mineral,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
2,irregular,1.55,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
3,irregular,0.904,1,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
4,irregular,2.13,2.5,Mineral,,Mineral,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
5,irregular,2.06,2.5,Carbonaceous,Mineral,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
6,irregular,1.34,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
7,cluster,0.422,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
8,cluster,0.356,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
9,cluster,1.15,2.5,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
10,irregular,1.33,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
11,spherical,1.03,2.5,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
12,cluster,1.2,2.5,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
13,spherical,0.657,1,Mineral,,Mineral,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
14,cluster,0.453,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
15,spherical,0.84,1,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
16,cluster,1.5,2.5,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
17,cluster,1.49,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
18,irregular,2.2,2.5,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
19,cluster,0.879,1,N-rich,,N-rich,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
20,irregular,1.01,2.5,Carbonaceous,N-rich,Carbonaceous,"11. Seosan (12.23, event)",11,Seosan,2020,12,23,Event
