grouplab,Event,Tot,chainlike,cluster,irregular,spherical,stat
UT,Event,1.84391666666667,2.18375,2.56444897959184,1.85906432748538,1.27981944444444,Mean
UT,Non-event,1.96733333333333,3.27714285714286,2.10006060606061,1.97526190476191,1.42061538461538,Mean
BJ,Event,1.321288,2.19,1.519125,1.37185789473684,0.847941176470588,Mean
BJ,Non-event,1.12918,,1.0042,1.24263636363636,0.772857142857143,Mean
SS,Event,1.233824,0.691,1.41873333333333,1.35280405405405,0.780482142857143,Mean
SS,Non-event,1.1094,,1.18335714285714,1.19688888888889,0.731888888888889,Mean
SE,Event,1.354424,1.13633333333333,1.63005405405405,1.38108125,1.07453191489362,Mean
SE,Non-event,0.73528,0.3125,0.611466666666667,0.910705882352941,0.7178125,Mean
NT,Event,1.425268,1.86333333333333,1.39305405405405,1.53868531468531,0.9203,Mean
NT,Non-event,1.54254,,1.86083333333333,1.54361290322581,0.992142857142857,Mean
UT,Event,1.17580099349759,0.527688693400623,1.60240227290705,1.12305495201677,0.586772104101584,sd
UT,Non-event,1.09986338179475,0.976604906222134,1.06701721926693,1.1038571926041,0.814543998906042,sd
BJ,Event,0.647391662686246,0,0.628254331807416,0.656563311353635,0.314109799484046,sd
BJ,Non-event,0.613900466904291,,0.729196635574612,0.601341927389371,0.326580479397973,sd
SS,Event,0.795268468362153,,1.12420398909224,0.712636301881235,0.462804336864705,sd
SS,Non-event,0.617348147072523,,0.828437789052184,0.550766412397889,0.193646226689577,sd
SE,Event,0.707090801687679,0.36260262915024,0.699156553202418,0.603684264719668,0.948710081959431,sd
SE,Non-event,0.570138330511436,0.362745778748699,0.586268571642074,0.680718991646506,0.404537796956807,sd
NT,Event,0.73538030224621,0.36909799963334,0.759634643469268,0.737564143017076,0.409737018266511,sd
NT,Non-event,0.750194239065144,,0.969632435826103,0.672206599066059,0.238937529193601,sd
